 &SRS
<MetaDataAtStart>
mode=assessment
noise=True
diff=True
multiple=True
features=7
issid=py16jo
</MetaDataAtStart>
&END
Magnetic Field (A/M)	4.00GHz	4.25GHz	4.50GHz	4.75GHz	5.00GHz	5.25GHz	5.50GHz	5.75GHz	6.00GHz	6.25GHz	6.50GHz	6.75GHz	7.00GHz	7.25GHz	7.50GHz	7.75GHz	8.00GHz	8.25GHz	8.50GHz	8.75GHz	9.00GHz	9.25GHz	9.50GHz	9.75GHz	10.00GHz	10.25GHz	10.50GHz	10.75GHz	11.00GHz	11.25GHz	11.50GHz	11.75GHz	12.00GHz	12.25GHz	12.50GHz	12.75GHz	13.00GHz	13.25GHz	13.50GHz	13.75GHz	14.00GHz	14.25GHz	14.50GHz	14.75GHz	15.00GHz	15.25GHz	15.50GHz	15.75GHz	16.00GHz	16.25GHz	16.50GHz	16.75GHz	17.00GHz	17.25GHz	17.50GHz	17.75GHz	18.00GHz	18.25GHz	18.50GHz	18.75GHz	19.00GHz	19.25GHz	19.50GHz	19.75GHz	20.00GHz	20.25GHz	20.50GHz	20.75GHz	21.00GHz	21.25GHz	21.50GHz	21.75GHz	22.00GHz	22.25GHz	22.50GHz	22.75GHz	23.00GHz	23.25GHz	23.50GHz	23.75GHz	24.00GHz	24.25GHz	24.50GHz	24.75GHz	25.00GHz	25.25GHz	25.50GHz	25.75GHz	26.00GHz	26.25GHz	26.50GHz	26.75GHz	27.00GHz	27.25GHz	27.50GHz	27.75GHz	28.00GHz	28.25GHz	28.50GHz	28.75GHz	29.00GHz	29.25GHz	29.50GHz	29.75GHz	30.00GHz	30.25GHz	30.50GHz	30.75GHz	31.00GHz	31.25GHz	31.50GHz	31.75GHz	32.00GHz	32.25GHz	32.50GHz	32.75GHz	33.00GHz	33.25GHz	33.50GHz	33.75GHz	34.00GHz	34.25GHz	34.50GHz	34.75GHz	35.00GHz
0.0	0.00195791306408	0.00128557122562	0.000879834657303	0.000620361941984	0.000443099436828	0.000313474678673	0.000250820709672	0.000174710374368	0.000135983107615	8.1810711453e-05	8.79925286425e-05	6.36324058694e-05	3.87920258239e-05	5.37350550281e-05	4.15167692853e-05	4.38420401268e-05	2.66343207137e-05	1.70695843715e-05	2.20952403628e-05	2.71579425801e-05	1.39041834573e-05	3.9722499263e-06	2.25556880812e-05	8.24559169356e-06	8.97174223636e-06	6.3566810151e-06	2.45768559683e-06	-2.65925775188e-06	1.98211042736e-05	2.96695413788e-06	-1.14130617206e-06	-5.02350475357e-06	7.75493336265e-06	-1.40963979279e-05	1.53771022921e-05	-5.63583859671e-06	-1.31042313284e-05	-1.40462709144e-06	7.39982723399e-06	-4.77707558062e-06	-1.91341651987e-05	8.01448653197e-06	6.65723883104e-06	-5.24875823295e-06	1.6385497587e-05	1.23155202523e-05	-4.85954140548e-07	7.39282456661e-06	1.68508001197e-06	9.84324803704e-07	-7.35860556494e-06	-9.29114582152e-07	-5.68171348795e-07	-7.55077301369e-06	1.15672184029e-05	4.62038952083e-06	-1.67317625755e-05	-6.98646689816e-06	-2.87819612366e-07	-4.24055233602e-06	2.33379008653e-05	-3.15495317059e-06	-6.58613983405e-06	-3.35766322001e-06	2.74274855023e-06	2.6120500017e-06	9.12515221165e-06	2.59669460331e-06	-9.84994763324e-06	1.13471621938e-05	-1.1975743863e-05	-9.37577545148e-07	6.11079297407e-06	-5.31545617819e-06	1.26841325538e-05	-5.25932772056e-07	-9.98385021873e-06	7.19684527279e-06	-4.85818616124e-06	-7.52376870508e-06	-7.52017146337e-07	-2.27729703729e-07	2.35845836949e-06	-2.01400625379e-06	-3.47244888253e-06	4.44445140002e-07	-4.424461732e-07	7.45394122017e-06	2.0166694336e-06	-1.46379900178e-05	-8.50193737369e-06	-7.3385982064e-06	-7.18971541701e-07	2.08793397691e-06	8.16398684582e-06	-6.7666571269e-06	1.16491157515e-05	-9.02959335876e-07	4.1935643227e-06	6.97608835247e-06	7.50879783387e-06	-2.24336949691e-05	1.34256841053e-05	-3.78301741158e-06	7.30750750747e-06	5.16485371369e-06	-1.01945373398e-05	-2.85648271182e-05	-1.25942879649e-05	-6.50367270323e-06	3.49474739321e-06	-1.78460610051e-05	-8.94511995612e-06	4.83678451248e-06	-1.02846849342e-05	2.40065832127e-06	4.20772023211e-06	-1.13868791948e-05	7.62317376788e-06	6.11932090924e-06	-1.60165206627e-05	2.18977955765e-05	-1.5437071401e-06	-2.55266329119e-05	7.58029951306e-06
1591.54943092	0.00283546096233	0.00182016620465	0.00120937828193	0.000813840623441	0.000557036793909	0.000384094070136	0.0002861089177	0.00021386647683	0.000163060463039	0.000122029655905	7.97241284459e-05	6.14384448856e-05	5.82819712682e-05	6.70438886757e-05	2.56286871885e-05	2.49888736813e-05	1.95268815362e-05	4.7259576266e-05	1.5620021585e-05	-4.66826947074e-06	1.52785664333e-05	2.04459949788e-05	-1.21953801933e-06	8.78108051104e-06	1.88000921217e-05	1.2362585028e-05	1.35604389281e-06	-9.7532800115e-06	2.40241019847e-05	1.35464303212e-05	6.84952802618e-06	1.69737536328e-05	1.69386810763e-05	3.5785972636e-05	-7.65442127714e-06	1.78425816795e-05	3.69109333622e-06	-7.43922564264e-07	6.57779668574e-06	-2.13764724563e-05	2.39129190913e-05	1.04410357893e-05	8.50208675376e-06	-3.468565965e-06	-5.48821287078e-06	-3.63141397261e-06	3.25770977018e-06	-5.3565614186e-06	2.7345899839e-07	-5.06565441479e-06	1.64045309922e-06	1.46060092005e-05	6.84104882452e-06	3.56062248571e-08	6.45050414847e-07	-3.52690177775e-06	-9.29232731338e-06	3.22638918412e-06	-4.28246806786e-06	-2.013741262e-05	-3.1636393811e-05	9.82273066232e-06	1.51518081187e-05	6.11645261706e-06	-1.87104763847e-06	6.63466632904e-06	1.66492350044e-05	-4.8726640493e-06	-1.14309139459e-05	8.16808040386e-06	-4.16673428251e-07	7.60277562011e-06	-3.45625211543e-06	-3.80584184529e-06	7.33337702717e-06	-3.20079322369e-06	1.22130103011e-05	-3.05736872403e-06	-3.63148340025e-06	1.14438482759e-06	-1.64592503827e-05	-1.23430185145e-05	6.56360164119e-06	-5.27284295162e-06	9.77852509667e-06	8.18884183746e-06	8.61234574278e-06	-8.84762528786e-06	1.09909065993e-06	-1.49556239514e-05	-2.59733666469e-06	-4.46860744156e-06	-1.61817570793e-05	-7.57583260995e-06	-1.11099343775e-05	2.58054640575e-06	-1.4171696043e-05	-3.26642612926e-06	1.62763488215e-05	-3.29334742193e-06	-1.14138288091e-05	-7.04326880251e-07	4.50720432715e-06	4.71041392115e-06	3.65256108075e-08	8.81074588026e-06	-1.2045138858e-05	-7.49324689403e-07	1.65317789725e-05	-9.11045258422e-06	-1.3844694415e-06	3.14481381798e-06	-5.136231736e-06	-2.24886824145e-05	5.02058696586e-06	-1.6348794724e-06	-1.54696496505e-05	4.35712983967e-06	-1.43298239075e-05	1.41708462961e-06	6.80636895785e-06	1.17288301358e-05	1.7490506321e-06	2.34428820242e-06	-2.1742403402e-06
3183.09886184	0.00417031741111	0.00262034278257	0.00166884211883	0.00108697153658	0.000710237904314	0.000497438416722	0.000348502482459	0.00027535566584	0.000191167340512	0.000140153007084	0.000130225074896	7.80440799455e-05	6.35422526528e-05	6.27402243705e-05	5.63680744859e-05	4.02652619213e-05	2.60781823018e-05	2.21405884663e-05	4.91629474795e-06	1.20859973313e-05	1.33280577322e-05	1.82896939697e-05	-1.07654023555e-06	-1.09026739599e-06	9.10595470722e-06	1.85924937014e-05	1.73627404339e-05	1.03738831377e-06	1.23624280816e-05	2.52184672424e-06	-4.64967203442e-06	-5.47471833911e-06	2.47503372118e-05	7.36540472342e-06	-3.02808856371e-06	2.0653261489e-07	1.31408073913e-05	-9.05506281622e-06	-4.6410927898e-06	1.25826039791e-05	-1.04986989393e-06	-1.01607843636e-05	6.26757788481e-06	7.16419750207e-07	1.15309835155e-05	1.4809562928e-05	-7.88579606659e-06	1.44399962264e-05	-6.82373310804e-06	-1.99962590013e-06	1.20034963893e-05	4.73481811652e-06	3.17237605089e-06	-7.26954209344e-06	4.49718763981e-06	-1.58208530286e-05	4.27820879724e-06	-9.35649075644e-07	1.09148017403e-05	1.73527659652e-05	-4.81180962139e-06	-2.04517319373e-05	1.80944076989e-05	-6.82444053526e-06	-1.5063402147e-05	8.62575611074e-06	7.27709663842e-07	1.27640485932e-05	-2.62986849949e-05	-7.52378330735e-06	-8.0321865331e-06	1.41026911574e-05	1.05288521238e-05	-2.3299921427e-05	1.50596808697e-06	-1.82936365171e-06	-1.67325570147e-06	3.49094265132e-06	4.92140226313e-06	7.61880574107e-06	1.12991013528e-05	7.06612783783e-06	-8.9828463599e-06	-1.65997193367e-05	-2.13237237646e-05	-1.53640190749e-05	1.85775682678e-06	1.07586345776e-05	1.26621361643e-06	7.53156521318e-06	-1.33034471881e-05	9.10506684122e-06	-1.29638809491e-05	2.15777944309e-05	-5.33592866732e-06	1.23642031668e-06	-5.56089650729e-06	2.24377597138e-06	-4.95426697512e-06	7.99323267926e-06	-1.63339882851e-05	7.45601395125e-06	-1.02865918273e-05	-7.71858693923e-06	-3.5023938156e-07	1.11763176579e-05	-2.05993137937e-06	6.08700776932e-06	-4.29993143277e-06	1.70490913812e-05	2.47968086385e-05	2.2354876648e-06	-9.57542231388e-06	8.30710939543e-06	-3.84691769518e-06	-1.59905266275e-05	-1.61567592121e-05	1.07364190379e-05	7.05099277568e-06	-7.37113187418e-07	6.55809016219e-06	4.77072358653e-06	-2.14734154085e-06	-6.16704898267e-06	-1.55695053959e-05
4774.64829276	0.00578932915339	0.00382456294613	0.00239669159451	0.00150722867873	0.000971256012768	0.000662202437543	0.000450097374022	0.000307203717498	0.000228937439276	0.000167486045107	0.000125458885385	9.36425766537e-05	7.32287151947e-05	7.42163462133e-05	3.40772193774e-05	3.07131416713e-05	2.48271951094e-05	2.260632762e-05	2.64118814391e-05	9.10182851358e-06	1.08752896903e-05	1.51669496258e-05	3.40194322637e-06	1.59066436196e-05	-1.0051095718e-05	-3.98776433447e-06	4.9194490642e-06	1.05956983492e-05	9.73951536547e-06	7.96963598712e-06	-1.29502887926e-05	1.63514074053e-05	2.43802265389e-06	2.06561098899e-05	9.08474168851e-06	1.47470971922e-05	-3.842545393e-07	-5.12928434445e-06	1.51244405033e-05	-1.40200023934e-05	7.12399132176e-06	-5.65115264827e-06	1.69296194493e-06	-2.77598772201e-06	-8.99166453645e-07	3.3845499863e-06	4.92330348641e-06	-3.63140559457e-07	6.45403692663e-06	7.21963111295e-06	-3.84551385289e-06	-2.02024538774e-05	6.01047192691e-06	4.24578365067e-06	-1.06371563609e-05	1.09928547778e-05	8.56962389946e-06	-1.8860598311e-05	2.86063852609e-06	9.65541250755e-06	-1.30869302621e-05	8.69038298656e-06	2.55755493798e-05	2.44985114568e-05	6.61567907144e-06	1.75043540667e-05	3.3265329627e-07	1.12836690168e-05	2.91325520022e-05	-8.94687674966e-07	1.75373048613e-05	-4.98196671606e-06	-7.8630234828e-06	-4.55557911293e-06	7.14698662233e-06	7.88682861564e-06	6.36718792379e-06	-7.04287417948e-06	-1.51945949986e-06	-1.30368526337e-06	1.10853645954e-05	1.3496026723e-05	-7.63539698895e-06	-6.25850148938e-06	1.13590639531e-06	-3.44745911854e-06	1.2842333919e-05	-1.0653287143e-05	1.77191609706e-05	-2.79004041001e-06	-2.43620941757e-07	4.15723958298e-06	-2.39895370213e-05	7.12605530429e-08	1.881621247e-05	-2.12687637548e-05	-5.75407205944e-07	-7.84291487944e-07	-6.9537231e-06	-5.58565754307e-06	-2.37798918172e-05	-1.48899063995e-06	-5.35196660424e-06	9.43616365975e-06	-4.32339149355e-06	-5.75622141869e-07	1.38518978358e-05	-6.74111938637e-06	-2.61121980248e-05	8.40347160705e-06	-3.02750602296e-05	1.33754615008e-06	6.63912474135e-06	6.74926511134e-08	8.03054655877e-06	-1.53836662147e-05	-1.10607298768e-05	1.02841541725e-05	7.07249707787e-06	-2.5646458843e-06	4.1688925483e-06	-1.85638639003e-05	-9.7816343307e-06	1.28400742718e-05	-3.77009963496e-06
6366.19772368	0.00673475471298	0.00531050272246	0.00344070899937	0.00213488056096	0.00132742625214	0.000856148309382	0.000572294172218	0.00039212710167	0.000283556946147	0.000204031272783	0.000159091698912	0.000103231957767	9.91594864375e-05	7.3587808917e-05	4.65219787423e-05	4.8751642851e-05	4.07186990276e-05	4.6825972332e-05	3.47949232396e-06	1.61509278565e-05	5.69012303815e-06	9.79326894265e-06	1.32302325382e-05	4.02959105388e-06	1.68232490662e-05	-6.27238764528e-06	2.03700673355e-06	1.1413118507e-05	2.53223503481e-05	2.92816003337e-05	2.70528306611e-06	3.00841475419e-06	-1.04759409048e-05	2.16320918566e-05	6.57670411281e-06	7.75192377402e-06	-1.56391261425e-05	-1.10749907653e-05	1.14958395988e-05	-9.29883228283e-06	-2.82618811459e-06	7.65610765182e-06	-1.19005674968e-05	8.41600550195e-06	1.30053569855e-05	1.21908029115e-05	8.09853585019e-06	1.26353011451e-05	-2.99473099397e-06	-1.55017618923e-05	-6.47232360734e-06	6.25631216455e-06	1.80388938072e-06	1.40216073772e-05	-5.00187291925e-06	1.02692978739e-05	1.13463140198e-05	4.83221686953e-07	-8.5732097662e-06	7.73370343713e-07	-3.51194924793e-06	8.46603213103e-06	2.24395825545e-05	-1.37325294834e-05	8.19468205942e-06	-7.21324535147e-06	-5.35291109959e-06	7.86678750258e-06	-4.80698496271e-06	3.85220718332e-07	1.28692934892e-06	-5.20919431914e-06	4.05585229898e-06	1.12812771115e-05	-1.57883663746e-05	-7.54838371449e-06	-1.6491680543e-05	5.22263689737e-06	5.04794364298e-06	4.42388794916e-06	1.01582566977e-05	-1.3821240728e-06	-3.93522891527e-07	-3.33858019547e-06	-5.06735817452e-07	6.24297468806e-06	-1.4019140199e-05	7.76301890832e-06	1.85542634086e-05	-1.04844624103e-05	5.76986785341e-06	3.75865109091e-09	2.28043989947e-06	-2.22910298706e-06	-2.01248341293e-06	-9.85206076537e-07	-2.02456559555e-06	2.33382342265e-06	1.36086656746e-05	-6.583579201e-06	-5.26047876082e-06	-1.481706742e-06	1.06759587224e-05	1.75945271116e-05	2.88538585265e-06	6.50612457148e-06	-1.10056217798e-05	1.2549638624e-05	4.93666179996e-08	-3.88477520675e-07	-1.95987712015e-06	-9.07571219522e-06	-3.41458059804e-06	-1.21357184118e-05	-2.03180496022e-06	2.50758064098e-06	1.7317705023e-06	-9.79389156971e-06	1.42197468162e-05	-5.01973010356e-06	-7.78317510767e-06	-6.67495534203e-06	7.73223311507e-06	-7.21059655748e-07	-5.60606766965e-06
7957.74715459	0.00447914717796	0.00643380668955	0.00480514232452	0.00301490262397	0.00186033350849	0.00115298020451	0.000743369058709	0.000503320244923	0.00035111866731	0.000235369926915	0.000186483166395	0.000137130861065	0.00010259183981	6.90621116832e-05	6.96953258196e-05	6.59189673946e-05	3.38091766357e-05	2.76362245769e-05	1.9116222972e-05	3.82297027028e-05	2.29016748159e-05	2.10193689433e-06	1.50884625441e-05	1.3781768153e-05	1.50441055631e-05	1.28086051373e-05	1.62239048803e-05	-1.07052307389e-07	-4.43292343171e-06	1.19271351597e-05	-6.66498138107e-07	1.01131369409e-05	1.595618083e-05	-2.31506461957e-05	-1.72059359902e-06	8.48002096246e-06	7.30222861708e-06	1.73762377107e-05	-3.63555921058e-06	1.8105993884e-05	-3.80967674989e-06	1.53007229599e-05	1.13799200692e-05	1.43778925719e-05	-6.83862964637e-06	-1.4191620225e-06	4.67908190863e-06	1.03291923553e-05	-5.98836371506e-06	1.40993670189e-05	-5.04214618212e-06	1.05750982217e-05	1.40139175902e-05	-1.22188595547e-05	1.76978644411e-06	-6.48920059135e-06	-5.67102025082e-07	-1.68678205784e-05	8.01823170003e-06	2.32921845442e-05	5.52259445748e-07	1.17719441879e-06	-8.52278358238e-06	-1.03434883916e-06	-1.02706085695e-06	-1.13047426194e-05	7.849718075e-06	7.53478288967e-06	-3.68934794347e-06	-9.22193312976e-06	5.44977421849e-06	-6.3022431686e-06	-5.75283302522e-06	9.58628852394e-07	-5.96617820569e-06	5.72248952291e-06	7.90202848091e-06	-1.00622944824e-05	7.62733276714e-06	2.10779755606e-06	-1.16176684822e-05	4.20248818876e-06	-3.54262250585e-06	1.88020809243e-05	-9.81918304839e-06	1.44265098233e-05	8.51774561958e-06	-2.14688326881e-07	5.55411023009e-06	-7.47335657433e-07	-5.19938357115e-06	8.11806762419e-06	-5.5557311545e-07	-1.04454158695e-06	9.11959145734e-06	-8.80503576022e-06	2.70891186176e-05	-1.64195052116e-06	-1.28441534143e-05	1.29546775175e-05	1.27804111826e-06	-7.11188949823e-06	5.20839454375e-06	1.33654121931e-05	-5.31592397068e-06	-1.20157667576e-05	-1.39391926484e-05	-1.74198462255e-05	-8.75658686182e-06	-3.0173747272e-06	5.95832576785e-06	-9.55136404601e-06	6.48322831104e-06	-5.060651143e-06	-1.38640987693e-06	3.02338538579e-06	1.05119231255e-05	7.10270565903e-06	-1.10198534237e-05	3.21411283558e-06	-1.18596268401e-05	1.52555587277e-05	1.71947754283e-05	-2.09016775026e-06	1.13887462087e-06
9549.29658551	-0.00165474864854	0.00498401416701	0.00605650676269	0.0042528735455	0.00263353295658	0.00158238792185	0.000996249279241	0.000628739910002	0.000433751524113	0.000306922010877	0.000215131329572	0.000168584588633	0.000132380429484	0.000101763106822	6.8410482616e-05	6.67631985225e-05	3.13582018446e-05	4.82984482081e-05	3.86052332852e-05	3.22387954402e-05	1.26845900256e-05	9.48835944944e-06	8.3854397819e-06	7.11594896338e-06	8.77791220241e-06	2.33445558822e-05	6.89305103805e-06	-2.21700579373e-06	1.45954338798e-05	1.55764807928e-05	1.75477949749e-05	2.89140733957e-07	1.63354499032e-05	6.74159305717e-06	-2.74293616717e-06	-9.48454273186e-06	-1.77926901525e-05	1.021950891e-05	-2.14241135256e-05	1.37622553329e-05	-6.25193362896e-06	-2.27664813693e-06	9.26460498409e-06	-8.24035777152e-06	-2.90611208076e-06	1.70647640881e-05	-2.06765186207e-05	1.0196159984e-06	-3.08487308656e-06	3.48076511593e-06	-2.60772547952e-07	4.84657328661e-07	-3.50145780973e-06	2.9039678263e-06	4.4568952552e-06	-5.53158726065e-06	-1.37228480482e-05	5.03124747506e-06	7.07724646405e-06	-3.65710871466e-06	-7.20374594074e-06	8.3809965316e-07	-4.21986147127e-06	-1.40969844537e-06	-5.49217148994e-06	8.43943622526e-06	-2.76427484955e-06	-4.10232114028e-06	-6.05212330799e-06	5.9861079058e-06	-5.54052142877e-06	2.50571888785e-06	-1.45838342584e-05	-1.53154361552e-06	1.35086337121e-05	9.90641485494e-06	7.21032272939e-06	-1.34413367459e-05	-1.06738525857e-05	-8.70051512885e-06	1.15287423739e-05	3.30235615235e-06	-1.3279062677e-07	1.6329653068e-06	1.12384574942e-05	-8.56734783935e-07	2.49510209479e-05	-1.08863831194e-05	1.01943888996e-05	-6.35772769248e-06	8.03004234612e-06	1.7821367086e-06	4.59656856989e-06	-1.00831827159e-05	1.40276819057e-05	-7.44116344453e-07	-4.3964707864e-06	7.45102890764e-06	4.89365766276e-06	-7.00038991268e-06	-4.62971570621e-06	1.04900236686e-06	1.78891392347e-05	1.29357161374e-05	-2.53107299286e-06	2.14244603019e-05	-2.39929175161e-06	2.72841299196e-06	6.89609504032e-06	2.39415892823e-05	-1.57991461702e-05	-1.12629498319e-05	1.81652781374e-05	-9.73368332307e-07	-2.66891476985e-05	-2.62037191256e-05	1.91065281911e-06	-1.88856221594e-05	1.80463486576e-05	-5.56012895915e-06	6.12486994401e-06	4.34098738584e-08	6.05570699207e-06	-6.81741095517e-06	-1.11104027478e-05
11140.8460164	-0.00618182306426	-0.000355434597793	0.00546487289278	0.00552801957284	0.00369102430038	0.00222951142904	0.00134779647829	0.000836162958305	0.000558986037813	0.000384454465184	0.000257214046224	0.000188593836213	0.000137607918588	0.000120354844134	8.63358133073e-05	6.24604786808e-05	4.99537193242e-05	3.7218379037e-05	2.70991908622e-05	1.91049974723e-05	1.27510988906e-05	2.51473534036e-05	1.48160689363e-05	3.69371494504e-07	7.95461365998e-06	4.05458915241e-06	9.77574542029e-06	1.72334714808e-05	8.0651162077e-06	-5.11436390992e-07	1.8096050814e-05	-1.25353192276e-06	1.09577871305e-06	-4.15128021351e-06	3.5756268648e-06	1.39357218999e-05	-8.6742956096e-06	2.33734580792e-06	5.457125982e-06	5.13915746245e-06	-1.99188317721e-05	-7.1040856574e-06	-3.3822116359e-06	-6.9433542019e-06	-1.09205495028e-05	-1.32417554951e-05	2.07707537041e-06	3.29525793165e-05	-5.19145263596e-06	2.10004659648e-05	1.58842288317e-05	-2.51630499181e-06	8.68962087622e-06	-1.02961695327e-05	7.10306122595e-06	3.34297372999e-06	9.6208397664e-06	-1.89179482068e-05	9.71254184103e-06	7.67908455019e-06	4.36375612994e-06	1.10684766165e-05	1.02915588941e-05	-8.70534739056e-06	-5.77497445987e-06	-5.05770835929e-06	6.39616136741e-06	-3.34827597393e-06	9.56951794056e-07	-2.3181272411e-06	3.9257286468e-06	1.9453029746e-06	1.06079370871e-05	-5.58525076337e-06	-8.50618594637e-06	-4.44479573366e-06	3.14071611966e-06	1.32687107477e-05	1.31597575072e-05	1.35877324069e-05	-8.71744989579e-06	9.28783657084e-06	5.31039562224e-06	1.55745329778e-05	-3.32509401443e-06	2.19539961685e-06	-3.28108768754e-06	9.38993572258e-06	2.14713959598e-06	5.6526096933e-06	-1.84493865957e-06	-3.01397791223e-06	-4.66549678631e-06	1.5622254394e-05	-8.75634846138e-07	6.14220967412e-06	-3.41940108226e-06	-1.35182958677e-05	8.87207123747e-06	1.32306121508e-06	3.34158374208e-06	-1.95534391126e-05	1.57036571685e-06	4.63524523296e-07	-5.23731907092e-06	7.59680901338e-06	-1.48791700859e-06	2.89632948581e-06	1.39323274533e-05	9.1767805898e-06	-3.88066108398e-07	1.24127776161e-05	1.42957907907e-06	9.6242670772e-08	5.66245995886e-06	-1.44312953737e-05	7.15290507197e-06	2.57630725756e-06	2.80733177565e-07	4.78297116361e-06	1.6618234811e-05	6.4534087747e-06	-1.45536538413e-05	1.48708610856e-05	2.01095479743e-05
12732.3954474	-0.00648381108411	-0.00533852567214	0.00119510320721	0.00572373499883	0.00492111500852	0.00313584689194	0.00188519445206	0.00115053764206	0.000743932942642	0.000477301522755	0.000300567688354	0.000222273728812	0.000179050246688	0.000103738801036	9.38159712963e-05	7.26092800468e-05	4.54687841081e-05	6.72963114597e-05	4.87922611213e-05	2.03456995686e-05	1.3905570068e-05	-3.3038164414e-06	3.21162127765e-06	1.18430467467e-05	1.50379544772e-05	3.01072301362e-05	-1.94898810945e-06	-2.90477508212e-06	3.56566048455e-06	3.45319235326e-08	1.00665103107e-05	1.38445883459e-05	-1.22604423116e-06	3.08067656599e-06	1.76242361666e-05	4.37111624938e-06	5.15603817356e-06	-1.33359338854e-06	2.05221624966e-06	1.87069491741e-05	-9.05764257161e-07	-5.10194856867e-06	4.95856992198e-06	9.27287377339e-06	-4.40286308232e-06	-1.46246962622e-06	1.02831236838e-05	-3.86500168144e-06	8.23883569987e-06	-2.2457419094e-06	3.79446565295e-06	3.25213296657e-06	1.58085837731e-05	5.17368634961e-06	-1.26656810209e-05	-1.34293083246e-05	1.08236417084e-05	8.20197957189e-06	-7.98531312222e-06	-1.99645106025e-05	2.15802109998e-05	-3.35912117433e-06	-1.33508088981e-06	1.04836416258e-05	1.59915968403e-05	2.57259356611e-06	2.61984533494e-06	1.73373144432e-05	5.33774102976e-06	1.05263359251e-05	-1.88821693503e-06	2.01505705973e-06	4.90049500315e-06	-3.53387806244e-07	3.46058697548e-06	-1.39803370818e-06	1.28258943278e-05	-1.73222066798e-05	-7.00708830316e-06	-1.2835104652e-05	-8.22696247585e-06	5.96806190905e-07	-1.45487940618e-05	-1.0592513692e-06	1.14619592491e-05	-1.57565075231e-05	4.54590746379e-06	5.34552583506e-06	-8.37321473075e-06	-7.69865623751e-06	-2.73250575691e-06	-1.08048047978e-05	1.1858757637e-06	-9.63971711158e-06	2.58712750921e-05	2.7337062721e-06	7.22565604321e-06	8.14723107156e-06	1.88334187694e-05	-4.85460309593e-06	-7.14806772794e-06	-4.43949843652e-06	2.28541024627e-05	-7.67307593251e-06	-1.54522683236e-05	-8.37006171552e-07	-1.13240856232e-05	5.25015616018e-06	1.12665996135e-05	2.12563454749e-05	1.99305255748e-05	8.06618490036e-06	1.04412790286e-05	6.84239834735e-06	-2.15201540117e-06	1.23748758411e-05	-2.14993536339e-06	-1.42597695194e-06	3.83863728249e-06	9.98044660922e-06	1.36486192371e-05	2.36792695993e-05	-2.16357680247e-06	4.97232583138e-06	3.37581911932e-06
14323.9448783	-0.00495089491039	-0.00640187511825	-0.00412873904424	0.00278057869654	0.00568553846293	0.00429226436393	0.00262176622111	0.0015560008984	0.000969350933348	0.000598795529254	0.000397229602289	0.000269679723396	0.000214090806771	0.00015405342157	0.000110982966131	7.59745227178e-05	4.92033805602e-05	3.93068352505e-05	2.49168322006e-05	3.04404829327e-05	1.86802196147e-05	2.58449202064e-05	2.96756248208e-05	1.427991904e-05	9.60162513034e-06	9.64286696855e-06	-4.29301498527e-06	2.05033951704e-06	2.59628335173e-05	-7.74202531274e-06	1.28728747301e-06	1.34112861087e-05	8.77373607535e-06	-6.8682222462e-07	-9.07895329525e-06	1.28986919895e-05	-5.6022749396e-07	5.97625902725e-06	7.86045806208e-06	1.96946526237e-06	4.28857119682e-06	1.15213807857e-06	2.55273705183e-06	-6.94755315366e-06	3.77635471313e-06	-5.35244170809e-06	-9.8213732054e-06	1.57131687998e-06	-6.87879843644e-06	-7.23780331747e-06	3.92835761131e-06	4.67713533823e-06	-1.0495651994e-05	-3.7481423807e-06	-8.27143517035e-06	1.41345106848e-05	8.30889886629e-07	4.17750722307e-06	-4.95047099193e-06	4.60485956253e-07	6.41013593947e-06	6.44447052573e-06	6.08119916476e-06	-1.06036760854e-05	-1.62679333679e-05	-7.08416456279e-06	3.53993094369e-06	4.44055271983e-06	-9.4545621031e-06	-2.65096089616e-06	4.44190271113e-06	1.97271657957e-05	-1.55377178324e-05	-1.67728681369e-05	1.44376364279e-05	1.98221047309e-06	8.69979338548e-06	-1.09878650186e-05	8.17636211197e-06	-3.15116576718e-07	-8.23656218524e-06	1.07173189708e-05	-1.23038094731e-05	4.17657496492e-06	-1.77074108943e-05	2.69819018175e-06	-3.18717646227e-06	7.38680948678e-06	9.88169745203e-06	3.46607051825e-06	6.39438555377e-07	-4.73258602569e-06	1.06328584601e-05	-1.17837584777e-05	4.58512715901e-06	2.14670666521e-05	-3.00329812154e-06	-3.81164132256e-06	-1.0768688147e-05	1.02109128537e-05	-2.7362229735e-06	7.35974466097e-06	7.12328404178e-06	-2.06418188383e-06	3.47879300169e-06	-5.23519288907e-06	6.86174274017e-06	2.11229349782e-06	1.23147190367e-06	1.60077425436e-06	-4.5419181229e-06	9.49669160601e-07	1.27124174366e-05	-1.68299351542e-05	1.16411475446e-05	2.17525105183e-06	-2.13047946995e-05	-6.43144468531e-06	7.29267481975e-07	-2.63441498378e-06	-1.48613422569e-05	2.88356019697e-06	7.16478797385e-06	-3.98952720195e-06	-1.2812189425e-05
